# gripperGoInit
76.2, 47.28, 36.56, 71.98, 30, 2, 2

77.16, -1.31, -2.72, 69.78, 30, 1, 2

-32.34, -1.14, 8.87, 19.24, 30, 2, 2

#-80.34, 1.14, 8.87, -85.24, 30, 2, 2

-87.36, 5.14, -5.53, -75.54, 20, 2, 2

-85.07, 25.83, -27.74, -74.95, 15, 5, 0
-86.57, 25.83, -27.74, -74.95, 15, 2, 2
-86.57, 25.83, -27.74, -68.95, 15, 2, 2
-86.57, 25.83, -27.74, -74.95, 15, 1, 2

#-84.44, 37.06, -39.31, -71.85, 15, 5, 0
#-84.44, 37.06, -39.31, -71.85, 20, 2, 2


-87.36, 1.14, -5.53, -71.54, 30, 2, 2

-32.34, -1.14, 8.87, 19.24, 30, 2, 1

77.16, -1.31, -2.72, 69.78, 30, 2, 2

# gripperGoInit
76.2, 47.28, 36.56, 71.98, 30, 2, 2
